Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude
525000.0,2.0,3.0,2086.0,38.034805,-121.36738
950000.0,4.0,4.0,3421.0,38.843555,-121.2859
900000.0,3.0,4.0,2645.0,37.78354,-121.54898
875000.0,2.0,3.0,1302.0,37.13788,-122.09233
399000.0,3.0,3.0,1380.0,34.21322,-117.08404
749000.0,3.0,5.0,2098.0,38.625854,-121.36837
425000.0,2.0,3.0,2176.0,36.82787,-119.79904
360000.0,2.0,3.0,1455.0,36.78879,-119.691986
740000.0,2.0,3.0,1879.0,38.746174,-121.28169
399950.0,2.0,3.0,1120.0,38.667404,-121.32311
430000.0,3.0,3.0,2020.0,36.30444,-119.28094
369900.0,2.0,3.0,1388.0,40.55413,-122.3348
379900.0,3.0,3.0,1720.0,32.82583,-115.58736
540000.0,2.0,4.0,1724.0,38.89199,-121.30781
385000.0,2.0,3.0,1102.0,38.698353,-121.377075
925000.0,5.0,5.0,4063.0,38.416443,-121.34624
650000.0,2.0,3.0,1884.0,38.157448,-121.32637
429000.0,2.0,3.0,1454.0,37.59748,-120.933685
429000.0,2.0,3.0,1402.0,38.568108,-121.327415
644900.0,2.0,4.0,2822.0,37.770893,-122.18939
399900.0,2.0,3.0,1680.0,36.6609,-119.7913
429888.0,3.0,3.0,1653.0,36.86528,-119.73566
440000.0,3.0,3.0,1753.0,36.83736,-119.90193
399999.0,2.0,3.0,1300.0,34.67991,-118.09653
199000.0,2.0,4.0,2398.0,41.20559,-122.276115
489000.0,3.0,4.0,2259.0,39.154194,-121.64581
545000.0,2.0,3.0,1937.0,38.56753,-121.366875
989000.0,5.0,5.0,3898.0,38.81779,-121.27584
545000.0,3.0,4.0,1789.0,38.681515,-121.269005
479000.0,2.0,3.0,1424.0,34.0196,-117.03416
380000.0,3.0,4.0,2168.0,36.34927,-119.28654
675000.0,2.0,3.0,1981.0,38.513992,-121.5368
680000.0,3.0,6.0,3152.0,34.620102,-118.204735
450000.0,2.0,3.0,1266.0,38.672615,-121.292
789000.0,3.0,4.0,2474.0,33.7487,-116.725624
660000.0,3.0,3.0,2795.0,38.05138,-121.3825
440000.0,3.0,3.0,1578.0,36.858948,-119.64536
499000.0,2.0,3.0,1724.0,38.30242,-120.67971
369000.0,2.0,3.0,1500.0,39.163635,-121.57673
675000.0,2.0,3.0,1913.0,38.493046,-121.544495
998000.0,2.0,3.0,1952.0,37.01088,-121.580284
900000.0,2.0,3.0,1134.0,37.67438,-122.12847
619000.0,3.0,3.0,2344.0,40.25709,-121.07624
459000.0,2.0,3.0,1461.0,39.09938,-120.949974
250000.0,2.0,4.0,1243.0,35.330734,-119.01127
579500.0,2.0,3.0,1466.0,38.25278,-121.98712
508000.0,3.0,3.0,1631.0,37.987762,-121.36253
679000.0,3.0,4.0,2611.0,38.77905,-121.299126
369000.0,2.0,3.0,1102.0,38.6968,-121.37972
339000.0,3.0,3.0,1820.0,36.74999,-119.69284
799999.0,3.0,5.0,2927.0,38.90221,-121.2788
440000.0,3.0,4.0,1861.0,39.121635,-121.65019
715000.0,2.0,3.0,1683.0,38.68609,-121.0834
375000.0,2.0,3.0,1001.0,38.67074,-121.37523
750000.0,2.0,3.0,1541.0,38.465267,-122.64816
975000.0,4.0,4.0,2660.0,38.621254,-121.04653
749000.0,3.0,3.0,2390.0,33.728695,-116.71415
495000.0,2.0,3.0,1549.0,37.988617,-121.35875
289900.0,2.0,3.0,1152.0,36.7183,-119.78884
999000.0,2.0,3.0,1577.0,37.970276,-121.9982
475000.0,2.0,3.0,1320.0,38.449795,-121.36042
475000.0,3.0,3.0,1568.0,38.71883,-121.363686
950000.0,3.0,4.0,3134.0,38.677307,-121.12406
500000.0,2.0,3.0,1534.0,38.4155,-121.36914
719000.0,3.0,5.0,2100.0,38.620274,-121.38144
869000.0,3.0,3.0,1762.0,33.165474,-117.1823
675000.0,3.0,3.0,2062.0,34.95847,-120.41518
350000.0,2.0,3.0,1468.0,36.800526,-119.88787
749000.0,3.0,4.0,2781.0,38.786015,-121.26548
480000.0,3.0,5.0,2213.0,34.572647,-118.13598
748000.0,4.0,3.0,2640.0,38.67718,-120.77468
689000.0,3.0,3.0,1858.0,37.69807,-121.431725
743000.0,3.0,4.0,2560.0,38.65074,-121.734474
650000.0,4.0,3.0,3594.0,38.659157,-121.44378
760000.0,3.0,5.0,2812.0,38.784332,-121.29258
559000.0,2.0,3.0,1582.0,38.61181,-121.36552
755000.0,3.0,4.0,2611.0,38.64961,-121.73899
859000.0,2.0,3.0,1145.0,37.349888,-121.88555
457000.0,3.0,4.0,2407.0,36.785973,-119.89553
245000.0,2.0,3.0,1432.0,37.60617,-120.95433
515000.0,2.0,3.0,1080.0,34.699356,-120.43505
979000.0,3.0,5.0,1921.0,38.551067,-121.76613
699000.0,3.0,3.0,2105.0,39.153774,-121.070114
499000.0,2.0,3.0,2088.0,36.93437,-119.45842
515000.0,3.0,5.0,2378.0,36.87113,-119.730934
650000.0,3.0,5.0,2823.0,38.03818,-121.26265
800000.0,2.0,3.0,1259.0,32.862667,-116.97544
274900.0,2.0,4.0,2056.0,36.14469,-120.35789
549000.0,3.0,3.0,1836.0,38.650585,-121.49703
439500.0,2.0,4.0,2001.0,36.190548,-119.29964
340000.0,2.0,3.0,1252.0,36.78486,-119.888626
645000.0,3.0,4.0,2283.0,38.4155,-121.41446
749950.0,3.0,3.0,2776.0,36.847134,-119.722496
469990.0,2.0,4.0,1984.0,34.670628,-118.21519
